link,amp_link,non_amp_total,non_amp_response,amp_total,amp_response,attempt#
https://www.buzzfeed.com/mikespohr/29-kids-who-just-dont-know-how-to-talk-good,https://www.buzzfeed.com/amphtml/mikespohr/29-kids-who-just-dont-know-how-to-talk-good,3383,121,903,106,0
https://www.buzzfeed.com/mikespohr/29-kids-who-just-dont-know-how-to-talk-good,https://www.buzzfeed.com/amphtml/mikespohr/29-kids-who-just-dont-know-how-to-talk-good,3774,64,860,63,1
https://www.buzzfeed.com/mikespohr/29-kids-who-just-dont-know-how-to-talk-good,https://www.buzzfeed.com/amphtml/mikespohr/29-kids-who-just-dont-know-how-to-talk-good,2439,84,1226,54,2
https://www.buzzfeed.com/mikespohr,https://www.buzzfeed.com/amphtml/mikespohr,1712,136,3198,1311,0
https://www.buzzfeed.com/mikespohr,https://www.buzzfeed.com/amphtml/mikespohr,1526,74,2484,103,1
https://www.buzzfeed.com/mikespohr,https://www.buzzfeed.com/amphtml/mikespohr,1326,60,2830,82,2
https://www.buzzfeed.com/mitchprothero/us-allies-in-europe-have-no-idea-what-the-fuck-is-going-on-w,https://www.buzzfeed.com/amphtml/mitchprothero/us-allies-in-europe-have-no-idea-what-the-fuck-is-going-on-w,2155,104,1830,507,0
https://www.buzzfeed.com/mitchprothero/us-allies-in-europe-have-no-idea-what-the-fuck-is-going-on-w,https://www.buzzfeed.com/amphtml/mitchprothero/us-allies-in-europe-have-no-idea-what-the-fuck-is-going-on-w,2441,94,724,37,1
https://www.buzzfeed.com/mitchprothero/us-allies-in-europe-have-no-idea-what-the-fuck-is-going-on-w,https://www.buzzfeed.com/amphtml/mitchprothero/us-allies-in-europe-have-no-idea-what-the-fuck-is-going-on-w,2345,201,1331,38,2
https://www.buzzfeed.com/tasneemnashrulla/that-makes-no-sense,https://www.buzzfeed.com/amphtml/tasneemnashrulla/that-makes-no-sense,3732,54,1505,447,0
https://www.buzzfeed.com/tasneemnashrulla/that-makes-no-sense,https://www.buzzfeed.com/amphtml/tasneemnashrulla/that-makes-no-sense,2140,112,1089,72,1
https://www.buzzfeed.com/tasneemnashrulla/that-makes-no-sense,https://www.buzzfeed.com/amphtml/tasneemnashrulla/that-makes-no-sense,2004,78,1039,50,2
https://www.buzzfeed.com/alimwatkins/with-flynn-gone-where-does-trump-go-on-russia,https://www.buzzfeed.com/amphtml/alimwatkins/with-flynn-gone-where-does-trump-go-on-russia,2457,405,1549,495,0
https://www.buzzfeed.com/alimwatkins/with-flynn-gone-where-does-trump-go-on-russia,https://www.buzzfeed.com/amphtml/alimwatkins/with-flynn-gone-where-does-trump-go-on-russia,1754,134,2554,77,1
https://www.buzzfeed.com/alimwatkins/with-flynn-gone-where-does-trump-go-on-russia,https://www.buzzfeed.com/amphtml/alimwatkins/with-flynn-gone-where-does-trump-go-on-russia,2115,62,1066,43,2
https://www.buzzfeed.com/borzoudaragahi/flynns-resignation-has-officials-across-the-middle-east-brac,https://www.buzzfeed.com/amphtml/borzoudaragahi/flynns-resignation-has-officials-across-the-middle-east-brac,2345,427,1470,360,0
https://www.buzzfeed.com/borzoudaragahi/flynns-resignation-has-officials-across-the-middle-east-brac,https://www.buzzfeed.com/amphtml/borzoudaragahi/flynns-resignation-has-officials-across-the-middle-east-brac,1651,82,1255,58,1
https://www.buzzfeed.com/borzoudaragahi/flynns-resignation-has-officials-across-the-middle-east-brac,https://www.buzzfeed.com/amphtml/borzoudaragahi/flynns-resignation-has-officials-across-the-middle-east-brac,1736,73,1048,46,2
https://www.buzzfeed.com/georgerizz/tell-us-your-valentines-day-plans-and-well-guess-2gdrn,https://www.buzzfeed.com/amphtml/georgerizz/tell-us-your-valentines-day-plans-and-well-guess-2gdrn,2064,68,1596,798,0
https://www.buzzfeed.com/georgerizz/tell-us-your-valentines-day-plans-and-well-guess-2gdrn,https://www.buzzfeed.com/amphtml/georgerizz/tell-us-your-valentines-day-plans-and-well-guess-2gdrn,2420,110,1563,359,1
